FOSL :: 125.7700 ::  :: 2012-05-08 05:00:34 -0700
SYNC :: 13.1000 ::  :: 2012-05-08 05:00:34 -0700
EA :: 15.1300 ::  :: 2012-05-08 05:00:35 -0700
RAX :: 57.8000 ::  :: 2012-05-08 05:00:35 -0700
MM :: 19.0000 ::  :: 2012-05-08 05:00:36 -0700
MAKO :: 41.4000 ::  :: 2012-05-08 05:00:36 -0700
NUGT :: 10.8900 ::  :: 2012-05-08 05:00:37 -0700
GME :: 21.0900 ::  :: 2012-05-08 05:00:37 -0700
KORS :: 44.1000 ::  :: 2012-05-08 05:00:37 -0700
LUV :: 8.2600 ::  :: 2012-05-08 05:00:38 -0700
GLD :: 159.0800 ::  :: 2012-05-08 05:00:38 -0700
SLV :: 29.2100 ::  :: 2012-05-08 05:00:39 -0700
XLF :: 15.1850 ::  :: 2012-05-08 05:00:40 -0700
QQQ :: 64.7600 ::  :: 2012-05-08 05:00:40 -0700
CTSH :: 56.3010 ::  :: 2012-05-08 05:00:41 -0700
XLI :: 36.2000 ::  :: 2012-05-08 05:00:41 -0700
GDX :: 43.6700 ::  :: 2012-05-08 05:00:42 -0700
SPY :: 137.1000 ::  :: 2012-05-08 05:00:42 -0700
DIA :: 129.8400 ::  :: 2012-05-08 05:00:42 -0700
XHB :: 21.4600 ::  :: 2012-05-08 05:00:43 -0700
INTC :: 27.7600 ::  :: 2012-05-08 05:01:44 -0700
V :: 118.5100 ::  :: 2012-05-08 05:01:44 -0700
MA :: 436.1200 ::  :: 2012-05-08 05:01:45 -0700
AIG :: 31.8400 ::  :: 2012-05-08 05:01:45 -0700
BNNY :: 38.3700 ::  :: 2012-05-08 05:01:46 -0700
FXE :: 129.9000 ::  :: 2012-05-08 05:01:46 -0700
BAC :: 7.9600 ::  :: 2012-05-08 05:01:47 -0700
BP :: 41.3300 ::  :: 2012-05-08 05:01:47 -0700
TLT :: 118.1600 ::  :: 2012-05-08 05:01:49 -0700
LVS :: 53.3500 ::  :: 2012-05-08 05:02:50 -0700
MAR :: 39.2900 ::  :: 2012-05-08 05:02:51 -0700
PCLN :: 737.6500 ::  :: 2012-05-08 05:02:51 -0700
NYX :: 25.4100 ::  :: 2012-05-08 05:06:52 -0700
GMCR :: 24.3000 ::  :: 2012-05-08 05:06:53 -0700
CHK :: 17.1300 ::  :: 2012-05-08 05:11:55 -0700
GRPN :: 10.4600 ::  :: 2012-05-08 05:11:55 -0700
USO :: 37.0500 ::  :: 2012-05-08 05:11:56 -0700
XCO :: 7.0800 ::  :: 2012-05-08 05:16:57 -0700
NUS :: 44.8200 ::  :: 2012-05-08 05:20:59 -0700
DIS :: 43.8200 ::  :: 2012-05-08 05:20:59 -0700
MCD :: 95.5100 ::  :: 2012-05-08 05:21:00 -0700
DNDN :: 11.6900 ::  :: 2012-05-08 05:21:00 -0700
XLK :: 28.9900 ::  :: 2012-05-08 05:26:02 -0700
VALE :: 21.4400 ::  :: 2012-05-08 05:26:02 -0700
INVN :: 13.4600 ::  :: 2012-05-08 05:26:03 -0700
ULTA :: 86.0600 ::  :: 2012-05-08 05:36:05 -0700
AKRX :: 12.2200 ::  :: 2012-05-08 05:41:06 -0700
SDS :: 15.7900 ::  :: 2012-05-08 05:41:07 -0700
CAC :: 32.2000 ::  :: 2012-05-08 05:46:08 -0700
EWG :: 21.6400 ::  :: 2012-05-08 05:51:10 -0700
RIMM :: 11.8200 ::  :: 2012-05-08 05:56:11 -0700
TM :: 78.6900 ::  :: 2012-05-08 05:56:12 -0700
GOLD :: 80.9200 ::  :: 2012-05-08 06:11:16 -0700
WYNN :: 125.1900 ::  :: 2012-05-08 06:11:17 -0700
YHOO :: 15.3500 ::  :: 2012-05-08 06:11:17 -0700
SD :: 7.0500 ::  :: 2012-05-08 06:11:18 -0700
IWM :: 79.3000 ::  :: 2012-05-08 06:16:19 -0700
BODY :: 14.8550 ::  :: 2012-05-08 06:16:20 -0700
EUO :: 19.7500 ::  :: 2012-05-08 06:26:23 -0700
TDG :: 130.8500 :: edeeueeedu :: 2012-05-08 06:36:26 -0700
PCX :: 5.7320 :: ueeeedudue :: 2012-05-08 06:41:29 -0700
CMG :: 401.0200 :: ududuuudud :: 2012-05-08 06:46:31 -0700
DMND :: 22.5400 :: eeeeeeeeee :: 2012-05-08 06:46:33 -0700
CRM :: 146.5800 :: duueededee :: 2012-05-08 06:46:33 -0700
QCOR :: 41.9000 :: eededduude :: 2012-05-08 06:46:34 -0700
REGN :: 129.8000 :: duueuuuddu :: 2012-05-08 07:01:38 -0700
UUP :: 22.1300 :: edueeeeeee :: 2012-05-08 07:01:44 -0700
DUST :: 63.9600 :: dduuedueue :: 2012-05-08 07:26:50 -0700
MDY :: 174.3800 :: deeueedeee :: 2012-05-08 07:26:51 -0700
P :: 8.7900 :: dudueeduee :: 2012-05-08 07:46:56 -0700
LNKD :: 101.9300 :: udeududued :: 2012-05-08 07:51:58 -0700
FAZ :: 22.7500 :: eeeeeduuee :: 2012-05-08 07:51:58 -0700
RENN :: 6.0495 :: eeeeeudddu :: 2012-05-08 07:52:09 -0700
ZNGA :: 7.6600 :: eeeuedduee :: 2012-05-08 07:57:11 -0700
MU :: 6.1850 :: eeeeeeeeee :: 2012-05-08 08:11:16 -0700
ANF :: 45.6101 :: dedeeududu :: 2012-05-08 08:16:18 -0700
TVIX :: 7.4400 :: udeudeeeee :: 2012-05-08 08:16:19 -0700
TZA :: 20.3500 :: ddueeeedue :: 2012-05-08 08:22:21 -0700
AMZN :: 219.1399 :: eeeuduuuuu :: 2012-05-08 08:26:23 -0700
SWHC :: 7.2400 :: eeeeueeede :: 2012-05-08 08:31:25 -0700
UAL :: 23.7700 :: ueeeudueee :: 2012-05-08 09:01:35 -0700
IDCC :: 27.2100 :: eeeeeeeeee :: 2012-05-08 09:06:37 -0700
MT :: 16.0700 :: ueeeeeeeee :: 2012-05-08 09:06:38 -0700
ISRG :: 552.8300 :: dudeeeeudu :: 2012-05-08 09:16:40 -0700
LMCA :: 85.0000 :: udeeeeeeee :: 2012-05-08 09:21:42 -0700
UBNT :: 24.0000 :: dduududuee :: 2012-05-08 09:21:42 -0700
TSLA :: 30.4000 :: deeeeeeeeu :: 2012-05-08 09:26:44 -0700
SINA :: 53.7100 :: dueedueeee :: 2012-05-08 09:31:45 -0700
USD :: 36.9660 :: eudduddudu :: 2012-05-08 09:31:46 -0700
TRI :: 29.3300 :: eeeeeeeuee :: 2012-05-08 09:36:48 -0700
MAPP :: 11.9050 :: udeeeeeudu :: 2012-05-08 09:36:49 -0700
MELI :: 87.2500 :: uudddduddd :: 2012-05-08 09:41:51 -0700
CTXS :: 80.1800 :: eeeeeeeeee :: 2012-05-08 09:41:52 -0700
XRT :: 59.4000 :: eeeuddeeee :: 2012-05-08 09:41:52 -0700
TEX :: 20.9700 :: eeeeeedeee :: 2012-05-08 09:46:54 -0700
SOXS :: 41.7100 :: udddeuduuu :: 2012-05-08 09:51:56 -0700
VRTX :: 61.0300 :: eededeuudu :: 2012-05-08 09:56:58 -0700
TGT :: 55.2800 :: eueeeeeduu :: 2012-05-08 10:02:00 -0700
SSO :: 53.6900 :: edeeeeeeeu :: 2012-05-08 10:07:02 -0700
INFY :: 44.1600 :: eedueeduee :: 2012-05-08 10:07:03 -0700
ZAGG :: 10.5800 :: eudueeueeu :: 2012-05-08 10:12:05 -0700
GLNG :: 32.1500 :: duuddeeeee :: 2012-05-08 10:12:05 -0700
GS :: 107.9100 :: ueeeeeeeee :: 2012-05-08 10:17:08 -0700
FDX :: 88.5700 :: udeeeeduud :: 2012-05-08 10:22:10 -0700
JIVE :: 20.3100 :: edudeeeuee :: 2012-05-08 10:22:10 -0700
ANR :: 13.4200 :: eedueeeeee :: 2012-05-08 10:26:12 -0700
VELT :: 9.8250 :: ueeeeeeeed :: 2012-05-08 10:36:23 -0700
RIGL :: 8.2500 :: deeeeddeee :: 2012-05-08 10:41:25 -0700
